User_ID,Assigned_Edge_Node,Old_Resource_Allocation,New_Resource_Allocation,Allocated_Bandwidth,New_Allocated_Bandwidth
1,5002,74.74790787039693,75.10130740704436,13600.441227486885,13488.290843032446
2,5014,75.18760322583704,74.99937659807411,12501.582481117062,15302.933929386378
3,5001,75.60347160260949,74.23968758713004,14798.807235387578,12272.602095191309
4,5005,73.48882044231163,75.32632538655042,13899.29982096231,13014.027050097853
5,5006,74.57749207083761,74.8869987273519,15499.019392114782,12599.411504250145
6,5006,75.00328884293411,74.82260371479167,12800.712421270877,14323.229393514903
7,5003,79.89893238819076,74.90479574425979,12500.79305331946,13068.85149729691
8,5014,79.91312439372237,76.70699010862381,12600.249217658566,13760.521849109547
9,5005,75.35543847234935,75.1427366708646,13699.694146978833,13701.687576221237
10,5001,74.66366374086344,75.070456462646,14001.291963383388,12800.610959189855
11,5003,74.31043476795182,74.97632846940053,12801.41339801792,15378.379039840129
12,5014,75.65661947026042,74.86476822751885,14901.152204770377,12428.638698877148
13,5014,74.17587654658288,74.98318000181357,13099.564296080973,14220.605423844083
14,5006,72.14031203337744,75.24772401722409,12800.012758316709,15258.041741384724
15,5006,69.57296861409519,75.17816816470678,12298.122259116051,13554.582273316202
16,5006,74.40164006657787,75.0643974542443,12398.602925975332,14079.142755380479
17,5006,70.776907591123,75.4229680600851,12002.088514687595,13937.305534591855
18,5005,74.23923969140431,66.72894504699389,15001.061351438688,11820.76812426405
19,5002,74.30717365799418,66.72894504699389,15401.141507737437,11872.288783604898
20,5006,75.49355766095142,66.43652873319036,14000.78823794354,12014.689537602495
21,5005,75.6302964765895,74.84029031704374,12800.792422617307,13967.663345554067
22,5003,73.76761388519672,74.89312059410015,12801.018137609564,14229.170560500615
23,5006,74.71856987878833,74.95103652007282,14500.045955224105,12281.800706945683
24,5002,68.518740798524,75.22068574684702,12198.83272155029,13068.85149729691
25,5002,68.57807545090155,76.63270934003636,12101.45073354352,13639.369680165148
26,5001,68.3063249591578,75.1635616452687,13999.252094212688,13648.037299589554
27,5006,74.1873752388937,66.72894504699389,14799.591007661962,11645.389593856216
28,5005,75.7471525922097,74.79320514926887,13101.63995406622,13971.14397555434
29,5005,69.3653475003834,75.25540842513927,12001.738448814238,13068.85149729691
30,5003,74.11057926588836,75.18078327664993,12500.877152812189,13933.951583369999
31,5005,75.39042060804489,74.80961083197649,12701.402166620375,14028.87815579791
32,5006,73.72037681773541,74.88623854773805,15800.521849490317,13970.85127667895
33,5003,80.34650175047598,74.58009143633035,12499.353643414475,13068.85149729691
34,5014,74.69899487161585,75.32632538655042,14300.413678808343,13250.38872777155
35,5014,75.44295626086394,74.58721455633088,14200.49852362362,12217.712636916469
36,5001,76.22217055687808,74.8934269093717,14200.101344790142,12523.297767656799
37,5006,69.77581016742748,74.74629945465749,14000.95626185738,14224.041629792111
38,5003,73.7359166568565,75.20444353280581,12699.82829095156,13714.043822692882
39,5001,75.28740364503842,74.8335258995449,14000.249817315922,13320.202782615464
