Algorithm,Average_Distance,Silhouette_Score,Calinski_Harabasz_Index,Silhouette_Score_Rank,Calinski_Harabasz_Index_Rank,Average_Distance_Rank
dbscan,497.92073846062266,0.323996374768988,7016.292835041624,3.0,4.0,3.0
divisive,511.80359747372006,0.27978438021088,6244.380946995707,7.0,5.0,6.0
gmm,521.5378684883397,0.3075038000124495,5376.079385002783,5.0,7.0,7.0
hierarchical,498.3488019887617,0.29518705393579747,5990.016817684972,6.0,6.0,4.0
kmeans,497.02306171061565,0.32448331349090476,7151.6933529281905,2.0,1.0,2.0
meanshift,496.9127085431266,0.32323140157113184,7036.400578998374,4.0,2.0,1.0
optics,507.1105313516943,0.33409793023555884,7021.713484495619,1.0,3.0,5.0
